STT,Nhóm Flow,Role test,Test case,Bước thực hiện,Kết quả mong đợi,Kết quả (Pass/Fail/Blocked),Mức độ lỗi (Critical/Major/Minor),Ghi chú + link ảnh,Người test,Ngày
27,F1 Media Order,account,Order Quay/Chụp tách 2 task,"Tạo + push 1 order type Quay/Chụp (tick cả 2) với PIC Quay ≠ PIC Chụp","Sinh đúng 2 task riêng (Quay + Chụp) đúng từng PIC; lịch quay hiện trên Calendar",,,,,
28,F1 Media Order,design/editor,PIC chạy production,"Task Tracker → task của mình → đổi status Tiếp nhận → Đang làm","Đổi được; admin/account nhận noti ""PIC đã bắt đầu""; order production status tự sync theo task",,,,,
29,F1 Media Order,design/editor,Gắn link sản phẩm,"Task drawer → dán link Source/Preview → chuyển Review","Chuyển Review yêu cầu có link; Account nhận noti review",,,,,
30,F1 Media Order,account,Gửi Preview cho client,"Order drawer → Links from Task Tracker → Dùng làm Preview → Gửi Preview","Client nhận noti + thấy link Preview trong Portal; timeline order sang Preview & Feedback",,,,,
31,F1 Media Order,client,Feedback vòng 1,"Client Portal → gửi feedback cho order","Account nhận noti feedback; drawer hiện Vòng 1/3",,,,,
32,F1 Media Order,account,Chuyển feedback cho PIC,"Order drawer → Gửi feedback vòng N cho PIC","Task chuyển feedback_fix + PIC nhận noti; task drawer hiện Client Feedback Round N/3",,,,,
33,F1 Media Order,design/editor,Vòng 3 bắt buộc Final link,"Ở feedback vòng 3, PIC chuyển task sang Review mà chưa có Final link","Bị chặn, yêu cầu điền Final link",,,,,
34,F1 Media Order,client,Duyệt Preview,"Client bấm Duyệt Preview","Account/admin nhận noti client đã duyệt preview",,,,,
35,F1 Media Order,account,Gửi Final,"Order drawer → Dùng làm Final → Gửi Final","Client nhận noti Final; Portal hiện link final; order sang Final & Rating",,,,,
36,F1 Media Order,client,Tra cứu tracking,"tracking.html → nhập mã MEDIA-*","Ra đúng timeline + tiến độ order",,,,,
37,F1 Media Order,client,Rating bắt buộc nhận xét,"Modal đánh giá: chọn 5 sao, bỏ trống nhận xét → Gửi","Bị chặn + toast ""Cần nhận xét""; điền nhận xét → gửi OK; staff nhận noti rating + email công ty (nếu deploy)",,,,,
38,F1 Media Order,account,Hủy đơn,"Tạo 1 order test → Hủy kèm lý do","Client thấy trạng thái hủy + lý do + nhận noti",,,,,
39,F2 Ads Order,client,Gửi yêu cầu Ads,"Client Portal → CTA ""Gửi yêu cầu chạy Ads"" → điền form 5 mục → Gửi","Tạo mã ADS-2026-xxx; form có lưu nháp + preview brief + đính kèm file kế hoạch hoạt động",,,,,
40,F2 Ads Order,client,Form Ads không bị ad-blocker ẩn,"Mở form Ads trên browser có uBlock/AdBlock/Brave","Toàn bộ form hiển thị đầy đủ, không mất khu vực nhập",,,,,
41,F2 Ads Order,lead_content,Ads vào Content Team,"Kiểm tra noti + tab Ads Orders trong content-team","Lead nhận noti; đơn ADS hiện trong tab Ads Orders; KHÔNG hiện trong Database Orders của Account",,,,,
42,F2 Ads Order,lead_content,Gán PIC + tách Content Task,"Ads drawer → gán PIC → Tách Content Tasks","PIC content thấy task trong workbench; PIC viết/submit → ads_status tự sync (writing → submitted_to_lead)",,,,,
43,F2 Ads Order,lead_content,Internal Ads Media Request,"Ads drawer → Tạo Internal Media Request","Sinh order ADS-MEDIA-2026-xxx vào Production, badge ""Internal · From Ads""; client KHÔNG thấy đơn này",,,,,
44,F2 Ads Order,lead_content,Chạy Ads → noti client,"Advance ads_status: ready_to_launch → running","Client nhận noti ""đang chạy""; tiếp tục completed → client nhận noti hoàn thành",,,,,
45,F2 Ads Order,client,Tracking Ads,"tracking.html → nhập mã ADS-*","Ra public status (8 nhãn); nhập mã ADS-MEDIA-* nội bộ → KHÔNG tra được",,,,,
46,F2 Ads Order,client,Portal chỉ thấy public status,"Mở đơn Ads trong Client Portal","Chỉ thấy tóm tắt campaign + trạng thái public; KHÔNG thấy task nội bộ/PIC/media request",,,,,
47,F3 Content nội bộ,content,Tự đề xuất task,"Content Workbench → tab Content Tasks của tôi → Đề xuất task mới → điền + tick ""Cần Media thiết kế""","Task tạo thành công (PIC = chính mình); Lead nhận noti; bảng Initiatives của Lead có chip ""PIC tự đề xuất""",,,,,
48,F3 Content nội bộ,content,Gate Lead duyệt trước Media,"Mở task vừa tạo TRƯỚC khi Lead duyệt","KHÔNG có nút/form ""Gửi sang Media""",,,,,
49,F3 Content nội bộ,content,PIC self-checklist,"Trong drawer task: thêm/xóa/tick mục ""Checklist của PIC""","Lưu ngay khi thêm/xóa; Lead xem được read-only; không bắt buộc để gửi duyệt",,,,,
50,F3 Content nội bộ,lead_content,Duyệt → gửi Media,"PIC gửi duyệt → Lead Duyệt → PIC mở lại task","Form ""Gửi sang Media"" xuất hiện → tạo order MEDIA-...-CT (nội bộ, client không thấy); admin/account/lead_media nhận noti",,,,,
51,F3 Content nội bộ,content,Hoàn tất khi Media xong,"Media production bàn giao Final cho order nội bộ","PIC content nhận noti; checklist hoàn tất đủ → nút ""Hoàn tất task"" bật → Lead nhận noti hoàn tất",,,,,
52,F3 Content nội bộ,lead_content,Content Plan roll-up,"Tạo Content Plan + 3 task con gán PIC khác nhau; PIC hoàn thành dần","Progress/status plan cha tự roll-up theo task con; drawer plan hiện đúng số liệu",,,,,
53,F3 Content nội bộ,lead_content,Trả chỉnh không giới hạn,"Trả chỉnh 1 task 2–3 vòng liên tiếp","Đếm vòng + revision history đầy đủ; PIC nhận noti mỗi vòng",,,,,
54,F4 Strategy Board,system_supervisor/admin,Giao kế hoạch,"Strategy Board → tạo kế hoạch giao Lead Media / Lead Content / Cả hai + đính kèm PDF","Lead được giao nhận noti; kế hoạch both hiện tiến độ RIÊNG từng Lead",,,,,
55,F4 Strategy Board,lead_media/lead_content,Cập nhật tiến độ + comment,"Lead mở drawer kế hoạch → cập nhật tiến độ + checklist + comment","Supervisor thấy realtime/refresh; comment 2 chiều có noti",,,,,
56,F4 Strategy Board,lead_media,Nộp duyệt → duyệt,"Lead ""Nộp duyệt"" → Supervisor Duyệt hoặc Trả chỉnh","Lane chỉ completed khi Supervisor duyệt; trả chỉnh → Lead nhận noti làm lại",,,,,
57,F4 Strategy Board,lead_content,Lead đề xuất ngược,"Lead tự tạo đề xuất kế hoạch","Supervisor nhận noti duyệt/từ chối; Lead kia được mention chỉ xem read-only",,,,,
58,F4 Strategy Board,bất kỳ,Board kanban,"Xem view Board","Cột ""Chờ duyệt"" chứa đúng kế hoạch đã nộp",,,,,
59,F5 Brand Safety,bất kỳ nội bộ,Nhóm 1 đạt,"Brand Safety → upload ảnh đẹp + chọn Nhóm 1 (nội bộ) → Kiểm tra","AI chấm điểm; verdict ""Được dùng nội bộ"" + tag ĐÃ DUYỆT tự động (mã = check code)",,,,,
60,F5 Brand Safety,bất kỳ nội bộ,Nhóm 3 bắt buộc Media,"Upload ảnh + chọn Nhóm 3 (Media duyệt)","Verdict ""Bắt buộc gửi Media duyệt""; admin + lead_media nhận noti",,,,,
61,F5 Brand Safety,admin/lead_media,Media hậu kiểm,"Dashboard hậu kiểm → mở check → APPROVED / REJECTED + note","Uploader nhận noti kết quả; REJECTED thu hồi tag ĐÃ DUYỆT",,,,,
62,F5 Brand Safety,client,Giáo viên tự kiểm,"Login client → Client Portal → Công cụ → Kiểm tra ảnh AI","Vào được với sidebar tối giản (không lộ nav nội bộ); upload + xem kết quả của mình",,,,,
63,F5 Brand Safety,bất kỳ,Chặn file sai,"Upload file >10MB hoặc không phải JPG/PNG/WEBP","Bị chặn kèm thông báo rõ",,,,,
64,F5 Brand Safety,admin,History + CSV,"Tab History → filter + search + Export CSV","Filter đúng; CSV mở Excel/Sheets không vỡ tiếng Việt",,,,,
65,F6 Phân quyền,design/editor,Không giao việc nội bộ,"Kiểm tra Task Dashboard + mở link production-board.html?createTask=1","KHÔNG thấy nút ""Giao việc nội bộ""; deep-link không mở được modal tạo task",,,,,
66,F6 Phân quyền,design/editor,Không sửa metadata task,"Mở task của mình","Không có nút Sửa công việc; chỉ đổi được link + status flow",,,,,
67,F6 Phân quyền,content,Bị chặn trang Production,"Content gõ thẳng URL database-orders.html và production-board.html","Bị redirect, không xem được",,,,,
68,F6 Phân quyền,lead_content,Client Orders chỉ xem,"Lead Content mở Client Orders (nav View only)","Xem được order + timeline; MỌI nút thao tác ẩn/khóa; gửi được ""Comment Lead Content"" → admin/account nhận noti; comment KHÔNG lộ ra Client Portal",,,,,
69,F6 Phân quyền,system_supervisor,Read-only toàn hệ thống,"Đi hết Orders/Tasks/Content Team/Calendar/Reports; thử mọi nút","Xem + export được; mọi mutation khóa; KHÔNG thấy Order Form/User Management/Settings",,,,,
70,F6 Phân quyền,lead_media,Quyền ngang Account,"Lead Media confirm/push/gán PIC/tạo task","Làm được như Account; KHÔNG vào được Content Team + Settings/User Management",,,,,
71,F6 Phân quyền,client,Không thấy nội bộ,"Client xem Portal + tracking","KHÔNG thấy task nội bộ, order internal (MEDIA-...-CT / ADS-MEDIA-), dashboard nội bộ",,,,,
72,F6 Cross,admin/account,PIC dropdown user thật,"User Management tạo 1 user design mới → mở dropdown gán PIC ở Order drawer + Task modal","User mới xuất hiện kèm badge role; @mention trong comment cũng gợi ý được user mới",,,,,
73,F6 Cross,nhiều role,Calendar theo role,"Mỗi role mở Calendar","admin/account thấy full; design/editor chỉ task mình; content chỉ hạn wording/content task; click event mở đúng trang",,,,,
74,F6 Cross,admin,Dashboard khớp số,"So số Master/Order/Task Dashboard với Database Orders + Task Tracker; click drilldown","Số khớp; drilldown mở đúng trang + filter",,,,,
75,F6 Cross,admin,Reports,"Mở Reports → đổi filter kỳ/role/PIC → Export CSV","Số liệu recompute đúng; CSV tiếng Việt OK",,,,,
76,F6 Cross,2 người,Noti realtime,"2 browser 2 role: A tạo order → xem chuông B","B nhận noti không cần F5 (realtime) hoặc trong vòng 60s (poll)",,,,,
77,F6 Cross,bất kỳ,Session bền,"Login → dùng 30+ phút, chuyển trang chủ ↔ dashboard nhiều lần, mở 2 tab","KHÔNG bị đá về login, KHÔNG bị hạ role",,,,,
78,F6 Cross,bất kỳ,Dark mode + mobile,"Bật dark mode; mở các trang chính trên điện thoại","Không vỡ layout, chữ đọc được, nút bấm được",,,,,
